Time,ZoneTemp,PMV,Energy_kWh,HeatingSetPoint,CoolingSetPoint
Timestamp,21.636407733346594,0.3,1.2,20.0,22.0
Timestamp,21.591227090896517,0.3,1.2,20.0,22.0
Timestamp,21.547975523797458,0.3,1.2,20.0,22.0
Timestamp,21.50666404031551,0.3,1.2,20.0,22.0
Timestamp,21.467038088648177,0.3,1.2,20.0,22.0
Timestamp,21.42751884908823,0.3,1.2,20.0,22.0
Timestamp,21.388386100404816,0.3,1.2,20.0,22.0
Timestamp,21.35028284518064,0.3,1.2,20.0,22.0
Timestamp,21.31347765007684,0.3,1.2,20.0,22.0
Timestamp,21.278284814927122,0.3,1.2,20.0,22.0
Timestamp,21.244451249697985,0.3,1.2,20.0,22.0
Timestamp,21.21171984388997,0.3,1.2,20.0,22.0
Timestamp,21.179997375310844,0.3,1.2,20.0,22.0
Timestamp,21.149291128515973,0.3,1.2,20.0,22.0
Timestamp,21.11958091429086,0.3,1.2,20.0,22.0
Timestamp,21.090844419966906,0.3,1.2,20.0,22.0
Timestamp,21.063070053973835,0.3,1.2,20.0,22.0
Timestamp,21.036243636451907,0.3,1.2,20.0,22.0
Timestamp,21.010333157984633,0.3,1.2,20.0,22.0
Timestamp,20.985294830234448,0.3,1.2,20.0,22.0
Timestamp,20.96108393393903,0.3,1.2,20.0,22.0
Timestamp,20.937660137841746,0.3,1.2,20.0,22.0
Timestamp,20.91494417061872,0.3,1.2,20.0,22.0
Timestamp,20.89284852876283,0.3,1.2,20.0,22.0
Timestamp,20.871368668874883,0.3,1.2,20.0,22.0
Timestamp,20.850502217469586,0.3,1.2,20.0,22.0
Timestamp,20.830200328615682,0.3,1.2,20.0,22.0
Timestamp,20.81038968762984,0.3,1.2,20.0,22.0
Timestamp,20.791071995267743,0.3,1.2,20.0,22.0
Timestamp,20.447404628577033,0.3,1.2,20.0,22.0
Timestamp,20.24886413252961,0.3,1.2,20.0,22.0
Timestamp,20.158634129571407,0.3,1.2,20.0,22.0
Timestamp,20.086574145312877,0.3,1.2,20.0,22.0
Timestamp,20.054775851773556,0.3,1.2,20.0,22.0
Timestamp,20.033104748158163,0.3,1.2,20.0,22.0
Timestamp,20.012314198372803,0.3,1.2,20.0,22.0
Timestamp,20.003884174284476,0.3,1.2,20.0,22.0
Timestamp,21.340269446250872,0.3,1.2,20.0,22.0
Timestamp,21.998734255501432,0.3,1.2,20.0,22.0
Timestamp,21.99874981516191,0.3,1.2,20.0,22.0
Timestamp,21.999525157109947,0.3,1.2,20.0,22.0
Timestamp,22.443590186241344,0.3,1.2,20.0,22.0
Timestamp,22.738053741929892,0.3,1.2,20.0,22.0
Timestamp,22.895261235578282,0.3,1.2,20.0,22.0
Timestamp,23.010856585084188,0.3,1.2,20.0,22.0
Timestamp,23.11234252094272,0.3,1.2,20.0,22.0
Timestamp,23.215187081764565,0.3,1.2,20.0,22.0
Timestamp,23.31098431716441,0.3,1.2,20.0,22.0
Timestamp,23.395566034130752,0.3,1.2,20.0,22.0
Timestamp,23.364052534635192,0.3,1.2,20.0,22.0
Timestamp,23.334520754941234,0.3,1.2,20.0,22.0
Timestamp,23.350619169227507,0.3,1.2,20.0,22.0
Timestamp,23.391604119636284,0.3,1.2,20.0,22.0
Timestamp,23.21095186741157,0.3,1.2,20.0,22.0
Timestamp,23.04080557127967,0.3,1.2,20.0,22.0
Timestamp,22.969614626604343,0.3,1.2,20.0,22.0
Timestamp,22.95614152942496,0.3,1.2,20.0,22.0
Timestamp,23.17181082184047,0.3,1.2,20.0,22.0
Timestamp,23.360804226596215,0.3,1.2,20.0,22.0
Timestamp,23.444322620690716,0.3,1.2,20.0,22.0
Timestamp,23.47153833805602,0.3,1.2,20.0,22.0
Timestamp,23.536599807905162,0.3,1.2,20.0,22.0
Timestamp,23.604164275155117,0.3,1.2,20.0,22.0
Timestamp,23.65190150698347,0.3,1.2,20.0,22.0
Timestamp,23.68398884486229,0.3,1.2,20.0,22.0
Timestamp,23.642195057575194,0.3,1.2,20.0,22.0
Timestamp,23.60716527054303,0.3,1.2,20.0,22.0
Timestamp,23.6028887328786,0.3,1.2,20.0,22.0
Timestamp,23.611911871217323,0.3,1.2,20.0,22.0
Timestamp,23.482744756178906,0.3,1.2,20.0,22.0
Timestamp,23.366280474831406,0.3,1.2,20.0,22.0
Timestamp,23.311363029948808,0.3,1.2,20.0,22.0
Timestamp,23.28622747327859,0.3,1.2,20.0,22.0
Timestamp,23.260910438552987,0.3,1.2,20.0,22.0
Timestamp,23.227053119537718,0.3,1.2,20.0,22.0
Timestamp,23.187815604018315,0.3,1.2,20.0,22.0
Timestamp,23.146882066614857,0.3,1.2,20.0,22.0
Timestamp,22.475695936825332,0.3,1.2,20.0,22.0
